济南市,中山市,贵阳市,泉州市,湖州市,天津市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 2062375)","('清远市', 8913687)","('贵阳市', 805489)","('汕头市', 1339812)","('杭州市', 12433825)","('保定市', 4573385)","('保定市', 3106186)","('保定市', 1291931)","('黄山市', 3673833)"
"('无锡市', 34761)","('安庆市', 150237)","('安庆市', 13576)","('安庆市', 22582)","('无锡市', 209568)","('无锡市', 77083)","('安庆市', 52354)","('无锡市', 21775)","('安庆市', 61921)"
"('合肥市', 26013)","('中山市', 112429)","('南宁市/崇左市', 10160)","('福州市', 16899)","('苏州市', 156828)","('合肥市', 57684)","('合肥市', 39178)","('合肥市', 16295)","('合肥市', 46338)"
"('德州市', 268238)","('东莞市', 1159337)","('长沙市', 104764)","('温州市', 174259)","('上海市', 1617175)","('德州市', 594826)","('德州市', 403998)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 477828)"
"('苏州市', 101025)","('珠海市', 436634)","('广州市', 39457)","('福州市', 65630)","('苏州市', 609066)","('苏州市', 224026)","('苏州市', 152155)","('苏州市', 63285)","('苏州市', 179961)"
"('盐城市', 886009)","('肇庆市', 3829375)","('肇庆市', 346043)","('温州市', 575592)","('杭州市', 5341648)","('盐城市', 1964755)","('盐城市', 1334437)","('盐城市', 555022)","('杭州市', 1578301)"
"('保定市', 18777)","('东莞市', 81155)","('东莞市', 7334)","('深圳市', 12198)","('保定市', 113205)","('保定市', 41639)","('石家庄市', 28281)","('保定市', 11762)","('石家庄市', 33449)"
"('益阳市', 71335)","('深圳市', 308315)","('益阳市', 27861)","('泉州市', 46343)","('泉州市', 430073)","('益阳市', 158189)","('益阳市', 107440)","('益阳市', 44687)","('益阳市', 127074)"
"('石家庄市', 29603)","('广州市', 127946)","('广州市', 11562)","('深圳市', 19232)","('上海市', 178474)","('石家庄市', 65646)","('石家庄市', 44586)","('石家庄市', 18544)","('上海市', 52734)"
"('长春市', 237992)","('珠海市', 1028613)","('广州市', 92951)","('深圳市', 154610)","('深圳市', 1434827)","('长春市', 527755)","('广州市', 358445)","('长春市', 149085)","('广州市', 423949)"
"('济宁市', 75682)","('荆州市', 327100)","('荆州市', 29558)","('绍兴市', 49166)","('绍兴市', 456276)","('廊坊市', 167826)","('济宁市', 113986)","('廊坊市', 47409)","('荆州市', 134816)"
"('常州市', 2108)","('中山市', 9113)","('中山市', 823)","('泉州市', 1370)","('苏州市', 12711)","('常州市', 4675)","('常州市', 3175)","('常州市', 1321)","('常州市', 3756)"
"('武汉市', 1840022)","('东莞市', 7952666)","('东莞市', 718646)","('厦门市', 1195362)","('福州市', 11093284)","('武汉市', 4080310)","('武汉市', 2771295)","('武汉市', 1152643)","('武汉市', 3277742)"
"('保定市', 519)","('珠海市', 2244)","('广州市', 203)","('泉州市', 337)","('金华市', 3130)","('保定市', 1151)","('保定市', 782)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 925)"
"('济宁市', 4968080)","('广州市', 21472288)","('广州市', 1940352)","('广州市', 3227490)","('杭州市', 29951991)","('济宁市', 11016883)","('济宁市', 7482528)","('长春市', 3112148)","('杭州市', 8849940)"
"('天津市', 55944)","('绍兴市', 241791)","('成都市/资阳市/眉山市', 21850)","('绍兴市', 36344)","('绍兴市', 337278)","('天津市', 124057)","('廊坊市', 84258)","('天津市', 35045)","('无锡市', 99656)"
