东莞市,天津市,武汉市,沈阳市/铁岭市/抚顺市,湖州市,成都市/资阳市/眉山市
"('惠州市', 9407925)","('保定市', 5959975)","('黄山市', 2253499)","('保定市', 1291931)","('杭州市', 16975284)","('贵阳市', 2311909)"
"('安庆市', 158567)","('无锡市', 100453)","('安庆市', 37982)","('无锡市', 21775)","('无锡市', 286113)","('安庆市', 38966)"
"('中山市', 118662)","('合肥市', 75173)","('合肥市', 28423)","('合肥市', 16295)","('苏州市', 214110)","('南宁市/崇左市', 29160)"
"('东莞市', 1223618)","('德州市', 775169)","('长沙市', 293096)","('沈阳市/铁岭市/抚顺市', 168032)","('上海市', 2207848)","('长沙市', 300693)"
"('广州市', 460844)","('苏州市', 291947)","('苏州市', 110387)","('苏州市', 63285)","('苏州市', 831528)","('广州市', 113248)"
"('肇庆市', 4041703)","('盐城市', 2560442)","('杭州市', 968117)","('盐城市', 555022)","('杭州市', 7292687)","('肇庆市', 993210)"
"('东莞市', 85655)","('保定市', 54263)","('石家庄市', 20517)","('保定市', 11762)","('保定市', 154553)","('石家庄市', 21049)"
"('深圳市', 325410)","('益阳市', 206149)","('益阳市', 77946)","('益阳市', 44687)","('泉州市', 587158)","('益阳市', 79967)"
"('广州市', 135040)","('石家庄市', 85549)","('上海市', 32346)","('石家庄市', 18544)","('上海市', 243661)","('石家庄市', 33185)"
"('广州市', 1085647)","('长春市', 687764)","('广州市', 260047)","('长春市', 149085)","('深圳市', 1958898)","('广州市', 266787)"
"('荆州市', 345236)","('廊坊市', 218709)","('荆州市', 82695)","('廊坊市', 47409)","('绍兴市', 622931)","('荆州市', 84839)"
"('深圳市', 9618)","('常州市', 6093)","('常州市', 2304)","('常州市', 1321)","('苏州市', 17354)","('中山市', 2363)"
"('东莞市', 8393618)","('武汉市', 5317406)","('武汉市', 2010540)","('武汉市', 1152643)","('福州市', 15145110)","('武汉市', 2062653)"
"('广州市', 2369)","('保定市', 1501)","('金华市', 567)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 4274)","('广州市', 582)"
"('广州市', 22662863)","('济宁市', 14357056)","('杭州市', 5428480)","('长春市', 3112148)","('杭州市', 40891968)","('济宁市', 5569185)"
"('绍兴市', 255198)","('天津市', 161669)","('无锡市', 61128)","('天津市', 35045)","('绍兴市', 460469)","('成都市/资阳市/眉山市', 62712)"
