东莞市,武汉市,湖州市,沈阳市/铁岭市/抚顺市,成都市/资阳市/眉山市,天津市
"('惠州市', 8944694)","('黄山市', 2278075)","('杭州市', 16780685)","('保定市', 1291931)","('贵阳市', 2017564)","('保定市', 6887574)"
"('安庆市', 150760)","('安庆市', 38396)","('无锡市', 282833)","('无锡市', 21775)","('安庆市', 34005)","('无锡市', 116088)"
"('中山市', 112820)","('合肥市', 28733)","('苏州市', 211655)","('合肥市', 16295)","('南宁市/崇左市', 25448)","('合肥市', 86873)"
"('东莞市', 1163369)","('长沙市', 296292)","('无锡市', 2182538)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 262409)","('德州市', 895815)"
"('广州市', 438153)","('苏州市', 111591)","('苏州市', 821996)","('苏州市', 63285)","('广州市', 98830)","('苏州市', 337385)"
"('肇庆市', 3842696)","('杭州市', 978675)","('杭州市', 7209086)","('盐城市', 555022)","('肇庆市', 866758)","('盐城市', 2958944)"
"('东莞市', 81438)","('石家庄市', 20741)","('保定市', 152781)","('保定市', 11762)","('石家庄市', 18369)","('保定市', 62708)"
"('深圳市', 309388)","('益阳市', 78796)","('泉州市', 580427)","('益阳市', 44687)","('益阳市', 69785)","('益阳市', 238234)"
"('广州市', 128391)","('上海市', 32699)","('上海市', 240868)","('石家庄市', 18544)","('石家庄市', 28960)","('石家庄市', 98863)"
"('广州市', 1032191)","('广州市', 262883)","('广州市', 1936442)","('长春市', 149085)","('广州市', 232821)","('长春市', 794806)"
"('荆州市', 328238)","('荆州市', 83597)","('无锡市', 615790)","('廊坊市', 47409)","('荆州市', 74037)","('廊坊市', 252749)"
"('深圳市', 9144)","('常州市', 2329)","('苏州市', 17155)","('常州市', 1321)","('中山市', 2063)","('常州市', 7041)"
"('东莞市', 7980330)","('武汉市', 2032467)","('武汉市', 14971492)","('武汉市', 1152643)","('武汉市', 1800042)","('武汉市', 6144996)"
"('东莞市', 2252)","('金华市', 574)","('金华市', 4225)","('沈阳市/铁岭市/抚顺市', 325)","('广州市', 508)","('保定市', 1734)"
"('广州市', 21546980)","('杭州市', 5487683)","('杭州市', 40423196)","('长春市', 3112148)","('济宁市', 4860134)","('济宁市', 16591559)"
"('绍兴市', 242632)","('无锡市', 61795)","('无锡市', 455190)","('天津市', 35045)","('成都市/资阳市/眉山市', 54728)","('天津市', 186831)"
